customer_id,age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status
CUST101835,39,Employed,11.9,86618,600,9.7,211,25963,0,0,0,Credit Card,Home Improvement,70000,20.55,0.3,0.808,0.269,1
CUST101836,21,Self-Employed,1.0,81646,528,2.6,554,53871,0,1,1,Credit Card,Business,34100,22.63,0.66,0.418,0.139,0
CUST101837,36,Self-Employed,6.0,29980,610,8.8,1279,13004,0,0,0,Personal Loan,Education,57900,13.27,0.434,1.931,0.644,0
CUST101838,34,Employed,4.8,32816,539,4.2,43,14375,1,1,1,Line of Credit,Business,18000,13.53,0.438,0.549,0.183,0
CUST101839,32,Self-Employed,1.3,60193,711,7.8,2828,24020,0,0,0,Credit Card,Personal,25800,15.73,0.399,0.429,0.143,1
CUST101840,33,Employed,11.0,39495,635,7.8,797,11613,0,1,0,Credit Card,Business,3500,19.8,0.294,0.089,0.03,1
CUST101841,18,Employed,0.0,104516,643,1.8,2544,16180,0,1,0,Personal Loan,Education,88300,13.25,0.155,0.845,0.282,1
CUST101842,28,Employed,7.6,44134,601,2.9,2858,6107,0,0,0,Credit Card,Home Improvement,28300,20.98,0.138,0.641,0.214,1
CUST101843,36,Self-Employed,10.3,141511,619,14.0,4374,16297,0,1,0,Credit Card,Medical,70000,20.77,0.115,0.495,0.165,1
CUST101844,36,Self-Employed,13.8,134863,624,4.9,3126,13156,0,1,0,Line of Credit,Home Improvement,50000,11.08,0.098,0.371,0.124,0
CUST101845,22,Employed,0.1,24073,561,3.7,687,7032,0,1,0,Personal Loan,Medical,25300,16.37,0.292,1.051,0.35,0
CUST101846,50,Employed,7.8,65039,649,3.1,1084,11816,0,1,0,Credit Card,Debt Consolidation,47600,20.96,0.182,0.732,0.244,0
CUST101847,24,Employed,0.5,31792,680,2.8,135,10617,0,1,0,Personal Loan,Business,34200,12.11,0.334,1.076,0.359,0
CUST101848,46,Self-Employed,22.5,81945,612,0.1,3,15095,0,0,0,Personal Loan,Education,16100,13.11,0.184,0.196,0.065,1
CUST101849,40,Student,1.0,29208,587,17.1,1333,14856,0,1,0,Line of Credit,Education,21200,14.02,0.509,0.726,0.242,0
CUST101850,27,Employed,8.6,209411,543,4.3,6729,91567,0,1,1,Credit Card,Debt Consolidation,70000,22.11,0.437,0.334,0.111,0
CUST101851,56,Employed,5.9,96107,637,10.4,11600,38382,0,1,0,Credit Card,Debt Consolidation,70000,20.41,0.399,0.728,0.243,1
CUST101852,20,Employed,0.7,23931,661,1.7,12,4308,0,0,0,Personal Loan,Business,26000,11.85,0.18,1.086,0.362,0
CUST101853,46,Student,1.3,18268,587,11.0,776,1793,0,2,0,Line of Credit,Personal,5800,14.67,0.098,0.317,0.106,1
CUST101854,47,Student,0.6,16587,673,28.4,45,6866,0,0,0,Line of Credit,Personal,8200,9.98,0.414,0.494,0.165,1
CUST101855,26,Student,1.8,26655,603,5.7,3369,1561,0,0,0,Credit Card,Education,2700,19.11,0.059,0.101,0.034,1
CUST101856,51,Employed,14.5,46898,615,15.8,293,13827,0,0,0,Personal Loan,Education,52000,13.16,0.295,1.109,0.37,1
CUST101857,31,Employed,8.0,65230,632,4.9,2696,10261,0,1,0,Line of Credit,Education,46100,12.78,0.157,0.707,0.236,1
CUST101858,38,Self-Employed,6.3,30490,664,2.2,102,15671,0,0,0,Personal Loan,Education,32700,12.21,0.514,1.072,0.357,0
CUST101859,38,Self-Employed,4.1,33253,756,18.4,6552,17151,0,0,0,Personal Loan,Medical,60200,8.27,0.516,1.81,0.603,0
CUST101860,33,Employed,12.0,29481,618,4.5,2911,7678,0,1,0,Credit Card,Home Improvement,15700,20.28,0.26,0.533,0.178,1
CUST101861,44,Self-Employed,17.7,97967,642,15.1,2929,16547,0,1,0,Personal Loan,Home Improvement,84600,14.81,0.169,0.864,0.288,1
CUST101862,44,Student,1.6,16965,771,7.8,767,3244,0,0,0,Personal Loan,Debt Consolidation,22700,8.05,0.191,1.338,0.446,1
CUST101863,18,Self-Employed,1.0,66532,556,0.7,1692,23835,0,0,0,Credit Card,Home Improvement,70000,22.87,0.358,1.052,0.351,0
CUST101864,50,Self-Employed,24.1,25179,676,8.2,553,9652,0,0,0,Credit Card,Business,27300,17.3,0.383,1.084,0.361,1
CUST101865,18,Employed,0.0,15000,557,0.3,25,4682,0,0,0,Personal Loan,Medical,10900,16.08,0.312,0.727,0.242,0
CUST101866,47,Self-Employed,9.7,46235,541,7.2,857,16195,0,2,0,Credit Card,Medical,12800,21.12,0.35,0.277,0.092,1
CUST101867,48,Employed,9.0,65233,723,9.8,767,7197,0,0,0,Line of Credit,Home Improvement,18700,9.0,0.11,0.287,0.096,1
CUST101868,21,Employed,1.3,21010,535,2.4,339,5331,1,3,1,Personal Loan,Business,24500,15.73,0.254,1.166,0.389,0
CUST101869,30,Employed,0.3,30989,643,11.8,229,7259,0,0,0,Personal Loan,Personal,35000,13.64,0.234,1.129,0.376,0
CUST101870,21,Employed,0.8,25993,693,2.5,37,5424,0,1,0,Credit Card,Personal,8400,18.4,0.209,0.323,0.108,1
CUST101871,32,Employed,3.6,22570,629,3.7,308,4341,0,3,0,Line of Credit,Home Improvement,13900,12.39,0.192,0.616,0.205,0
CUST101872,31,Employed,11.1,75917,572,12.8,2176,41594,0,2,1,Line of Credit,Education,50000,14.67,0.548,0.659,0.22,0
CUST101873,44,Employed,18.0,119513,655,11.8,24095,6072,0,0,0,Credit Card,Debt Consolidation,70000,17.7,0.051,0.586,0.195,1
CUST101874,50,Employed,8.4,84070,654,5.9,157,41463,0,0,0,Credit Card,Personal,70000,17.25,0.493,0.833,0.278,1
CUST101875,51,Employed,12.0,109189,679,14.0,684,31680,0,0,1,Personal Loan,Personal,100000,12.73,0.29,0.916,0.305,1
CUST101876,28,Self-Employed,5.8,60508,642,7.6,12942,45039,0,1,0,Credit Card,Medical,67400,20.6,0.744,1.114,0.371,0
CUST101877,32,Employed,8.4,42630,592,11.4,1025,13221,0,1,0,Personal Loan,Medical,11100,16.93,0.31,0.26,0.087,0
CUST101878,18,Self-Employed,1.0,76440,648,0.7,35,33731,0,1,0,Line of Credit,Home Improvement,35400,11.5,0.441,0.463,0.154,0
CUST101879,25,Employed,6.8,33833,611,0.5,544,4777,0,0,0,Personal Loan,Medical,26300,13.28,0.141,0.777,0.259,1
CUST101880,46,Employed,18.5,80496,579,6.7,4027,36340,0,1,0,Credit Card,Medical,59500,21.15,0.451,0.739,0.246,0
CUST101881,54,Employed,14.4,40571,699,22.3,4517,5294,0,0,0,Credit Card,Medical,42200,18.35,0.13,1.04,0.347,1
CUST101882,20,Self-Employed,1.0,78206,682,1.9,415,26994,0,0,0,Personal Loan,Medical,6800,12.04,0.345,0.087,0.029,1
CUST101883,27,Employed,1.0,79060,680,4.5,276,30090,0,0,0,Credit Card,Medical,70000,18.81,0.381,0.885,0.295,1
CUST101884,34,Employed,1.6,35923,707,12.7,293,24137,0,0,0,Credit Card,Education,17000,15.85,0.672,0.473,0.158,0
CUST101885,38,Self-Employed,6.7,49627,509,0.6,60,13101,0,1,0,Credit Card,Personal,29400,22.53,0.264,0.592,0.197,0
CUST101886,25,Employed,2.9,59335,656,2.3,350,7510,0,2,0,Credit Card,Education,70000,17.39,0.127,1.18,0.393,1
CUST101887,40,Employed,14.5,61469,723,0.4,207,25928,0,0,0,Credit Card,Education,22700,17.14,0.422,0.369,0.123,1
CUST101888,29,Employed,5.1,42744,668,4.2,534,27471,0,0,0,Credit Card,Education,53700,17.83,0.643,1.256,0.419,0
CUST101889,34,Employed,11.6,32912,749,12.3,306,17311,0,0,0,Personal Loan,Home Improvement,52100,10.98,0.526,1.583,0.528,0
CUST101890,41,Employed,2.3,60379,615,0.9,30,30684,0,0,0,Credit Card,Medical,42400,19.13,0.508,0.702,0.234,0
CUST101891,35,Student,0.6,20128,737,5.5,628,2734,0,0,0,Line of Credit,Home Improvement,7400,8.73,0.136,0.368,0.123,1
CUST101892,29,Employed,9.9,40651,621,2.9,44,4173,0,1,0,Personal Loan,Debt Consolidation,34900,13.87,0.103,0.859,0.286,0
CUST101893,33,Employed,0.7,51032,551,6.8,4547,12567,0,1,0,Credit Card,Personal,1800,22.22,0.246,0.035,0.012,1
CUST101894,33,Employed,9.9,32843,597,9.5,1773,13808,0,1,1,Line of Credit,Medical,9200,14.05,0.42,0.28,0.093,0
CUST101895,30,Employed,6.6,26370,660,5.1,74,10698,0,0,0,Credit Card,Education,18400,17.42,0.406,0.698,0.233,1
CUST101896,31,Student,0.1,15782,652,9.2,473,6401,0,0,0,Credit Card,Medical,1600,18.36,0.406,0.101,0.034,1
CUST101897,54,Student,0.3,15000,596,4.9,500,4103,0,2,0,Line of Credit,Medical,9500,14.82,0.274,0.633,0.211,0
CUST101898,41,Self-Employed,6.2,74058,670,0.7,374,25062,0,0,0,Credit Card,Personal,70000,17.23,0.338,0.945,0.315,1
CUST101899,31,Employed,1.3,54848,603,10.6,2136,14770,0,1,0,Personal Loan,Business,100000,13.79,0.269,1.823,0.608,0
CUST101900,43,Self-Employed,8.4,114683,610,15.3,309,59001,0,2,0,Personal Loan,Home Improvement,100000,13.44,0.514,0.872,0.291,0
CUST101901,30,Employed,8.0,15000,603,3.6,127,5920,0,2,0,Line of Credit,Education,5000,12.7,0.395,0.333,0.111,0
CUST101902,49,Employed,22.7,56128,582,23.7,473,8329,0,1,0,Credit Card,Business,63800,21.92,0.148,1.137,0.379,0
CUST101903,39,Employed,7.7,56621,616,15.1,16622,23162,0,2,0,Line of Credit,Medical,42300,12.42,0.409,0.747,0.249,0
CUST101904,33,Employed,13.2,35927,678,13.7,373,1623,0,0,0,Credit Card,Debt Consolidation,9300,17.41,0.045,0.259,0.086,1
CUST101905,40,Student,1.7,28975,694,2.2,325,6737,0,0,0,Personal Loan,Personal,30100,12.53,0.233,1.039,0.346,1
CUST101906,18,Student,0.3,23892,642,1.7,138,5136,0,1,0,Credit Card,Personal,2400,20.08,0.215,0.1,0.033,1
CUST101907,21,Student,1.3,17005,674,0.8,90,2586,1,2,0,Line of Credit,Medical,5400,10.64,0.152,0.318,0.106,0
CUST101908,20,Employed,0.5,30776,641,1.9,405,6118,0,0,0,Line of Credit,Education,7600,12.47,0.199,0.247,0.082,1
CUST101909,36,Employed,10.7,20374,718,2.8,482,5632,0,0,0,Line of Credit,Medical,7700,8.86,0.276,0.378,0.126,1
CUST101910,55,Student,0.8,15000,656,5.3,3025,9054,0,0,0,Credit Card,Education,1500,18.72,0.604,0.1,0.033,0
CUST101911,61,Employed,22.7,60085,713,10.1,3221,8773,0,0,0,Credit Card,Personal,70000,15.78,0.146,1.165,0.388,1
CUST101912,42,Employed,15.1,37687,679,22.0,2317,4499,0,0,0,Line of Credit,Business,16900,9.16,0.119,0.448,0.149,1
CUST101913,41,Employed,3.5,31921,775,22.9,1750,12741,0,0,0,Credit Card,Personal,7800,14.3,0.399,0.244,0.081,1
CUST101914,18,Employed,0.0,34765,615,0.6,58,14672,0,3,0,Personal Loan,Business,46500,13.22,0.422,1.338,0.446,0
CUST101915,28,Self-Employed,1.8,38835,616,9.6,198,5012,0,1,0,Line of Credit,Personal,18100,11.57,0.129,0.466,0.155,1
CUST101916,25,Employed,1.3,75484,700,1.9,3724,17133,0,0,0,Credit Card,Debt Consolidation,45100,16.12,0.227,0.597,0.199,1
CUST101917,27,Employed,6.7,24297,523,7.1,728,361,0,1,0,Personal Loan,Medical,38700,15.08,0.015,1.593,0.531,0
CUST101918,32,Employed,12.8,33619,576,8.8,739,7566,0,0,0,Credit Card,Personal,46000,21.62,0.225,1.368,0.456,1
CUST101919,29,Employed,4.9,23202,534,0.7,53,7368,1,1,0,Personal Loan,Business,10800,15.6,0.318,0.465,0.155,0
CUST101920,18,Employed,0.0,15119,519,1.5,26,3938,0,1,0,Credit Card,Personal,5700,22.01,0.26,0.377,0.126,0
CUST101921,43,Employed,14.4,60968,637,4.7,9150,18355,0,1,0,Personal Loan,Personal,100000,14.09,0.301,1.64,0.547,0
CUST101922,22,Student,1.8,15000,506,1.6,187,6629,0,1,0,Credit Card,Debt Consolidation,1500,22.04,0.442,0.1,0.033,0
CUST101923,37,Self-Employed,14.0,43156,719,14.0,2765,23008,0,0,0,Personal Loan,Education,80600,10.23,0.533,1.868,0.623,1
CUST101924,59,Employed,33.4,98907,643,6.6,3948,15972,0,1,0,Credit Card,Business,70000,20.58,0.161,0.708,0.236,1
CUST101925,23,Self-Employed,1.0,30413,587,0.1,0,4846,0,0,0,Personal Loan,Home Improvement,11900,15.42,0.159,0.391,0.13,0
CUST101926,18,Self-Employed,1.0,16561,610,1.7,50,10306,0,2,0,Credit Card,Debt Consolidation,17200,20.9,0.622,1.039,0.346,0
CUST101927,31,Employed,3.8,78152,598,4.2,109,2273,1,0,1,Line of Credit,Personal,50000,13.1,0.029,0.64,0.213,0
CUST101928,48,Employed,17.6,27466,688,10.9,228,6651,0,0,0,Credit Card,Personal,30400,17.85,0.242,1.107,0.369,1
CUST101929,58,Self-Employed,24.2,56879,525,7.7,103,15645,1,1,0,Credit Card,Education,40100,22.89,0.275,0.705,0.235,0
CUST101930,20,Employed,0.2,15000,707,0.4,14,6785,1,1,0,Credit Card,Education,2400,15.59,0.452,0.16,0.053,0
CUST101931,40,Employed,7.1,54628,697,20.6,5562,9388,0,0,0,Credit Card,Personal,38700,17.39,0.172,0.708,0.236,1
CUST101932,29,Self-Employed,3.0,70593,747,4.5,2794,31838,0,0,0,Credit Card,Personal,9900,15.94,0.451,0.14,0.047,1
CUST101933,33,Employed,13.0,30426,707,8.0,9481,5039,0,1,0,Credit Card,Personal,500,15.79,0.166,0.016,0.005,1
CUST101934,66,Self-Employed,22.6,38859,702,14.3,2374,8757,0,1,0,Personal Loan,Medical,2500,11.03,0.225,0.064,0.021,1
CUST101935,18,Self-Employed,1.0,38811,572,1.9,164,7908,0,0,1,Line of Credit,Medical,24700,13.93,0.204,0.636,0.212,0
CUST101936,38,Self-Employed,3.8,26536,683,13.8,466,5838,0,0,0,Credit Card,Medical,31400,17.16,0.22,1.183,0.394,1
CUST101937,40,Employed,11.5,33134,670,6.4,5898,19763,0,0,1,Credit Card,Home Improvement,10800,18.91,0.596,0.326,0.109,0
CUST101938,48,Student,0.0,15000,753,28.7,984,4888,1,2,0,Credit Card,Personal,1500,14.35,0.326,0.1,0.033,0
CUST101939,36,Employed,3.7,22357,828,16.4,931,3832,0,2,0,Personal Loan,Personal,26800,8.45,0.171,1.199,0.4,1
CUST101940,38,Self-Employed,13.0,25151,830,10.8,13856,3948,0,0,0,Personal Loan,Personal,27900,8.27,0.157,1.109,0.37,1
CUST101941,30,Employed,7.9,35208,565,9.4,256,10420,0,0,0,Credit Card,Business,29000,21.45,0.296,0.824,0.275,1
CUST101942,38,Employed,10.9,30144,664,5.7,549,8836,0,1,0,Credit Card,Business,25200,18.1,0.293,0.836,0.279,1
CUST101943,30,Employed,10.1,44942,684,8.2,9763,17567,0,0,0,Line of Credit,Business,16200,9.9,0.391,0.36,0.12,1
CUST101944,42,Employed,10.6,34831,702,22.6,2191,11037,0,0,0,Credit Card,Home Improvement,35000,15.75,0.317,1.005,0.335,1
CUST101945,30,Employed,3.4,47977,583,1.7,687,15355,0,2,0,Credit Card,Business,57400,22.91,0.32,1.196,0.399,0
CUST101946,39,Employed,17.6,82000,593,5.5,1752,18594,0,2,1,Credit Card,Home Improvement,70000,21.4,0.227,0.854,0.285,0
CUST101947,34,Employed,4.8,47554,493,13.9,610,11743,1,0,1,Line of Credit,Medical,29200,14.59,0.247,0.614,0.205,0
CUST101948,48,Employed,25.7,75160,665,11.2,2221,12242,0,0,0,Credit Card,Debt Consolidation,62600,18.8,0.163,0.833,0.278,1
CUST101949,34,Employed,10.6,28498,649,15.3,43114,5109,0,0,0,Personal Loan,Home Improvement,51400,14.0,0.179,1.804,0.601,1
CUST101950,18,Employed,0.0,37984,546,1.4,182,21552,0,1,0,Credit Card,Home Improvement,36400,21.27,0.567,0.958,0.319,0
CUST101951,50,Employed,2.6,30893,680,21.9,13659,3251,0,1,0,Personal Loan,Home Improvement,52600,12.03,0.105,1.703,0.568,1
CUST101952,24,Self-Employed,1.5,64594,625,4.0,250,8455,0,1,0,Personal Loan,Education,25100,13.39,0.131,0.389,0.13,1
CUST101953,27,Employed,3.4,42219,663,7.3,332,16525,0,0,1,Personal Loan,Personal,81700,12.23,0.391,1.935,0.645,0
CUST101954,27,Employed,8.3,31023,625,6.1,286,11622,0,0,0,Line of Credit,Home Improvement,6800,11.46,0.375,0.219,0.073,1
CUST101955,51,Employed,0.4,63181,791,20.7,8614,4928,0,0,0,Personal Loan,Personal,42100,9.18,0.078,0.666,0.222,1
CUST101956,18,Employed,0.0,15314,697,0.7,655,6250,0,0,0,Credit Card,Business,17700,18.22,0.408,1.156,0.385,0
CUST101957,70,Employed,16.5,100237,714,16.3,3815,9016,0,1,0,Credit Card,Medical,52900,17.37,0.09,0.528,0.176,1
CUST101958,47,Employed,23.3,31050,665,28.8,2231,13570,0,0,0,Line of Credit,Education,11500,9.82,0.437,0.37,0.123,1
CUST101959,37,Employed,15.9,25012,589,16.2,2452,3989,0,0,1,Credit Card,Education,24500,22.63,0.159,0.98,0.327,1
CUST101960,34,Employed,7.4,66175,695,10.8,53779,23100,0,0,0,Personal Loan,Home Improvement,44500,12.3,0.349,0.672,0.224,1
CUST101961,38,Employed,3.2,84634,780,14.0,11888,11072,0,0,0,Personal Loan,Personal,28800,8.57,0.131,0.34,0.113,1
CUST101962,41,Employed,4.7,55458,744,7.1,178,4974,0,0,0,Personal Loan,Education,61400,11.24,0.09,1.107,0.369,1
CUST101963,42,Employed,17.4,42599,494,0.7,254,651,1,2,0,Credit Card,Business,35800,22.87,0.015,0.84,0.28,0
CUST101964,41,Employed,18.9,27608,636,1.4,25,2998,0,1,0,Line of Credit,Debt Consolidation,25800,12.82,0.109,0.935,0.312,0
CUST101965,36,Self-Employed,5.8,44689,585,12.3,57664,7034,0,0,0,Credit Card,Education,61800,22.9,0.157,1.383,0.461,1
CUST101966,32,Employed,5.1,31496,626,7.0,54,475,1,1,0,Line of Credit,Education,13200,11.07,0.015,0.419,0.14,0
CUST101967,33,Self-Employed,2.7,65132,619,6.5,3209,19303,0,0,0,Personal Loan,Home Improvement,100000,13.67,0.296,1.535,0.512,0
CUST101968,32,Student,1.3,15000,602,8.6,1758,5050,0,1,0,Line of Credit,Debt Consolidation,11800,12.0,0.337,0.787,0.262,0
CUST101969,48,Student,0.2,21835,643,5.5,324,10361,0,0,0,Line of Credit,Education,12700,12.56,0.475,0.582,0.194,0
CUST101970,42,Employed,16.9,20253,595,16.7,163,4914,0,0,1,Personal Loan,Education,11100,16.0,0.243,0.548,0.183,1
CUST101971,18,Employed,0.0,15000,601,0.9,115,1620,0,0,0,Credit Card,Personal,16500,19.38,0.108,1.1,0.367,0
CUST101972,42,Employed,19.5,37178,728,18.8,4229,11511,0,0,0,Line of Credit,Education,28700,9.41,0.31,0.772,0.257,1
CUST101973,37,Self-Employed,9.4,54375,685,19.0,267,10940,0,0,0,Credit Card,Personal,67400,17.13,0.201,1.24,0.413,1
CUST101974,34,Employed,3.3,43391,540,15.2,555,3039,0,0,1,Personal Loan,Home Improvement,29700,16.96,0.07,0.684,0.228,0
CUST101975,30,Employed,6.9,36439,600,8.0,483,18433,0,0,0,Personal Loan,Medical,39900,13.02,0.506,1.095,0.365,0
CUST101976,48,Employed,27.1,31733,737,28.2,5974,14397,0,0,0,Line of Credit,Personal,22100,8.87,0.454,0.696,0.232,1
CUST101977,46,Employed,22.2,51486,542,22.2,31405,6585,0,0,0,Personal Loan,Business,60600,15.81,0.128,1.177,0.392,1
CUST101978,25,Self-Employed,1.3,102039,509,5.2,11690,26358,0,1,1,Credit Card,Personal,52600,22.65,0.258,0.515,0.172,0
CUST101979,39,Employed,2.0,46229,625,11.9,4096,9195,0,0,0,Credit Card,Medical,7100,20.37,0.199,0.154,0.051,1
CUST101980,23,Employed,4.8,42003,613,1.7,252,9175,0,1,0,Line of Credit,Personal,24100,12.23,0.218,0.574,0.191,1
CUST101981,18,Employed,0.0,15000,685,1.7,514,1066,0,0,0,Personal Loan,Education,29400,12.09,0.071,1.96,0.653,1
CUST101982,27,Employed,7.4,36306,632,6.6,505,24507,0,0,0,Credit Card,Home Improvement,8700,19.84,0.675,0.24,0.08,0
CUST101983,45,Employed,24.3,78973,623,1.7,535,12356,0,1,0,Credit Card,Home Improvement,43600,20.13,0.156,0.552,0.184,0
CUST101984,46,Employed,13.1,67367,624,4.9,135,27113,0,0,0,Line of Credit,Medical,43000,12.55,0.402,0.638,0.213,0
CUST101985,41,Self-Employed,16.7,66104,734,3.3,320,36411,0,1,0,Credit Card,Personal,48100,16.53,0.551,0.728,0.243,0
CUST101986,43,Self-Employed,3.6,54950,630,8.8,1856,19129,0,0,0,Personal Loan,Education,100000,14.45,0.348,1.82,0.607,1
CUST101987,41,Employed,7.8,52878,539,17.1,73987,1309,0,0,0,Line of Credit,Education,25200,14.05,0.025,0.477,0.159,1
CUST101988,27,Self-Employed,2.4,98743,487,7.6,433,50077,0,2,0,Credit Card,Business,29100,22.34,0.507,0.295,0.098,0
CUST101989,40,Employed,0.8,43541,609,10.2,1028,5832,0,0,0,Personal Loan,Personal,46000,14.43,0.134,1.056,0.352,1
CUST101990,44,Employed,4.9,121903,589,0.4,8,6161,1,1,0,Credit Card,Education,15600,22.24,0.051,0.128,0.043,0
CUST101991,44,Employed,18.9,28895,550,3.6,864,17198,0,1,2,Line of Credit,Personal,18600,13.52,0.595,0.644,0.215,0
CUST101992,49,Employed,14.3,65881,644,11.3,2456,11332,0,1,0,Credit Card,Medical,25800,20.22,0.172,0.392,0.131,1
CUST101993,43,Employed,14.9,44543,673,1.3,308,12699,0,0,0,Line of Credit,Medical,26200,10.01,0.285,0.588,0.196,1
CUST101994,39,Employed,12.9,20879,481,5.5,2746,2969,0,1,0,Credit Card,Medical,4300,22.93,0.142,0.206,0.069,0
CUST101995,47,Employed,6.1,58852,648,11.8,3845,23735,0,0,0,Credit Card,Medical,57800,19.35,0.403,0.982,0.327,1
CUST101996,34,Employed,14.8,38675,671,6.6,106,25569,0,0,0,Credit Card,Personal,32500,18.15,0.661,0.84,0.28,0
CUST101997,24,Employed,0.8,17724,537,1.8,42,2051,0,0,0,Personal Loan,Education,24400,15.62,0.116,1.377,0.459,0
CUST101998,33,Employed,0.0,17814,597,9.0,103,1909,1,2,0,Credit Card,Education,6300,22.16,0.107,0.354,0.118,0
CUST101999,26,Employed,2.1,36719,610,0.8,42,8977,0,1,0,Line of Credit,Personal,15800,12.3,0.244,0.43,0.143,1
CUST102000,26,Employed,4.1,33514,636,0.9,5,9931,0,0,0,Personal Loan,Home Improvement,34500,13.07,0.296,1.029,0.343,0
CUST102001,33,Student,0.3,25437,676,1.8,7,2353,0,1,0,Personal Loan,Medical,13600,12.37,0.093,0.535,0.178,1
CUST102002,25,Self-Employed,2.5,91160,599,5.9,2502,12321,0,1,2,Credit Card,Home Improvement,70000,21.49,0.135,0.768,0.256,0
CUST102003,31,Employed,2.7,42164,596,1.4,1492,13621,0,1,1,Credit Card,Business,43900,22.83,0.323,1.041,0.347,0
CUST102004,18,Employed,0.0,17829,604,1.0,111,1024,0,2,0,Personal Loan,Personal,13600,14.91,0.057,0.763,0.254,0
CUST102005,37,Employed,13.5,159286,474,5.5,16737,27699,0,2,1,Line of Credit,Debt Consolidation,36900,14.19,0.174,0.232,0.077,0
CUST102006,35,Self-Employed,11.3,202818,717,16.1,3789,109507,0,0,0,Personal Loan,Medical,100000,10.55,0.54,0.493,0.164,1
CUST102007,25,Employed,3.8,29251,674,5.6,843,8426,0,0,0,Line of Credit,Education,21400,10.5,0.288,0.732,0.244,1
CUST102008,42,Employed,13.3,52937,546,6.8,238,20914,0,2,0,Credit Card,Personal,60800,21.78,0.395,1.149,0.383,0
CUST102009,46,Self-Employed,23.4,15000,770,24.4,9167,3520,0,0,0,Personal Loan,Personal,11200,8.9,0.235,0.747,0.249,1
CUST102010,18,Employed,0.0,36184,669,1.9,35,14919,0,0,0,Line of Credit,Business,12500,9.71,0.412,0.345,0.115,0
CUST102011,25,Employed,4.1,27643,629,6.6,7852,7127,0,1,0,Line of Credit,Medical,8700,11.89,0.258,0.315,0.105,1
CUST102012,25,Self-Employed,1.1,41488,564,2.9,3251,11372,0,0,1,Personal Loan,Home Improvement,53500,15.57,0.274,1.29,0.43,0
CUST102013,23,Self-Employed,1.0,17674,602,3.0,164,2036,0,2,1,Personal Loan,Education,19300,13.92,0.115,1.092,0.364,0
CUST102014,44,Employed,16.4,67512,665,20.6,3677,23852,0,0,0,Personal Loan,Medical,91700,12.83,0.353,1.358,0.453,1
CUST102015,32,Self-Employed,1.7,23635,590,13.5,9869,4795,0,0,0,Credit Card,Business,13200,22.56,0.203,0.558,0.186,0
CUST102016,31,Employed,3.7,15000,651,3.9,369,4812,0,0,0,Personal Loan,Home Improvement,11200,11.5,0.321,0.747,0.249,1
CUST102017,18,Employed,0.0,55692,658,1.7,1280,20341,0,1,0,Line of Credit,Debt Consolidation,50000,9.82,0.365,0.898,0.299,0
CUST102018,42,Employed,2.0,16974,566,5.7,1462,3955,1,2,1,Credit Card,Education,4600,21.82,0.233,0.271,0.09,0
CUST102019,20,Employed,0.5,15000,563,1.3,87,6171,1,2,0,Personal Loan,Personal,24200,16.34,0.411,1.613,0.538,0
CUST102020,35,Employed,8.6,24666,609,15.1,352,5930,0,0,0,Credit Card,Business,27800,20.85,0.24,1.127,0.376,1
CUST102021,38,Employed,19.7,39474,654,5.1,51,2971,0,0,0,Line of Credit,Home Improvement,15200,9.85,0.075,0.385,0.128,1
CUST102022,51,Self-Employed,6.8,24201,653,24.2,2489,8551,0,2,0,Line of Credit,Business,5000,10.9,0.353,0.207,0.069,1
CUST102023,19,Employed,0.8,15000,686,1.7,179,6138,0,0,0,Credit Card,Education,7400,18.62,0.409,0.493,0.164,1
CUST102024,18,Employed,0.0,15000,554,0.6,100,1045,0,0,0,Personal Loan,Business,28500,15.75,0.07,1.9,0.633,0
CUST102025,37,Employed,0.2,34876,675,6.6,1148,10597,0,0,0,Personal Loan,Personal,35800,11.82,0.304,1.026,0.342,1
CUST102026,56,Employed,29.7,149889,627,28.5,8074,35811,1,2,0,Credit Card,Home Improvement,39500,19.78,0.239,0.264,0.088,0
CUST102027,49,Employed,15.2,72995,735,10.3,861,15817,0,1,0,Credit Card,Education,32800,15.82,0.217,0.449,0.15,1
CUST102028,37,Employed,9.1,43564,730,4.2,270,8664,0,0,0,Personal Loan,Debt Consolidation,78700,9.78,0.199,1.807,0.602,1
CUST102029,29,Employed,7.4,23115,533,1.7,19,4857,0,1,0,Line of Credit,Personal,15400,14.06,0.21,0.666,0.222,0
CUST102030,44,Employed,16.9,43587,637,21.4,442,21910,0,0,0,Credit Card,Education,60600,20.13,0.503,1.39,0.463,0
CUST102031,23,Self-Employed,1.0,47942,684,2.4,6,25400,0,0,0,Personal Loan,Business,39000,12.96,0.53,0.813,0.271,0
CUST102032,40,Self-Employed,6.5,102971,594,18.6,8832,12951,0,2,0,Credit Card,Personal,18500,21.77,0.126,0.18,0.06,1
CUST102033,41,Employed,13.4,52611,534,18.8,31469,17357,0,0,0,Line of Credit,Medical,39700,13.71,0.33,0.755,0.252,1
CUST102034,47,Employed,25.5,47094,711,27.7,33577,13907,0,0,0,Credit Card,Medical,64200,16.05,0.295,1.363,0.454,1
